iter	RMSE
0	31849.79374
1	31257.45063
2	30687.2729
3	30141.89917
4	29621.37297
5	29118.07972
6	28620.60903
7	28131.27938
8	27483.89858
9	27032.14848
10	26590.98988
11	26150.94311
12	25724.28487
13	25333.81206
14	24957.58284
15	24583.20876
16	24231.67219
17	23745.46044
18	23419.50096
19	23104.1801
20	22799.94169
21	22508.5488
22	22195.33259
23	21922.01603
24	21522.72439
25	21248.04516
26	20995.09868
27	20746.52948
28	20497.01601
29	20281.79637
30	19891.82641
31	19564.74881
32	19282.82159
33	19048.15737
34	18865.58103
35	18691.10954
36	18520.91652
37	18357.539
38	18065.01116
39	17865.88878
40	17623.91769
41	17435.69773
42	17198.91108
43	17029.76578
44	16854.04908
45	16635.72788
46	16504.19627
47	16455.85106
48	16309.15502
49	16269.12677
50	16132.25345
51	16019.14842
52	15921.41746
53	15813.39003
54	15642.47424
55	15493.4781
56	15381.58125
57	15213.2737
58	15167.84568
59	15039.02876
60	14932.17629
61	14861.59109
62	14827.87982
63	14794.42059
64	14762.81833
65	14738.30798
66	14648.19087
67	14619.96073
68	14545.00618
69	14515.60023
70	14454.26365
71	14385.52565
72	14314.92657
73	14279.06805
74	14159.1876
75	14101.85554
76	13970.55859
77	13902.94879
78	13876.29037
79	13809.58654
80	13777.94399
81	13715.14497
82	13660.02219
83	13631.12064
84	13524.28982
85	13494.36667
86	13438.66808
87	13390.47757
88	13304.29857
89	13273.43469
90	13220.61165
91	13103.19413
92	13075.74386
93	13025.34484
94	12977.45749
95	12933.33229
96	12886.30126
97	12788.5166
98	12729.53746
99	12688.69179
