iter	Passed	Remaining
0	14	1478
1	30	1497
2	45	1463
3	61	1467
4	77	1471
5	94	1477
6	109	1448
7	123	1424
8	139	1408
9	154	1390
10	169	1371
11	183	1346
12	196	1318
13	211	1301
14	229	1299
15	247	1298
16	262	1283
17	278	1268
18	294	1256
19	310	1243
20	315	1187
21	322	1143
22	338	1132
23	353	1118
24	367	1103
25	383	1092
26	398	1077
27	412	1061
28	429	1052
29	436	1018
30	450	1002
31	468	994
32	484	984
33	500	971
34	516	959
35	531	944
36	545	928
37	563	920
38	580	907
39	594	891
40	604	869
41	620	856
42	634	841
43	650	827
44	674	824
45	692	812
46	707	797
47	722	782
48	738	768
49	752	752
50	766	736
51	781	721
52	796	706
53	810	690
54	824	674
55	838	658
56	852	643
57	866	627
58	879	611
59	893	595
60	907	580
61	923	566
62	936	550
63	950	534
64	965	519
65	980	504
66	994	489
67	1007	474
68	1022	459
69	1038	445
70	1056	431
71	1074	417
72	1089	402
73	1106	388
74	1124	374
75	1144	361
76	1161	347
77	1175	331
78	1190	316
79	1207	301
80	1221	286
81	1238	271
82	1256	257
83	1271	242
84	1290	227
85	1304	212
86	1317	196
87	1334	182
88	1353	167
89	1370	152
90	1385	136
91	1399	121
92	1413	106
93	1429	91
94	1442	75
95	1457	60
96	1472	45
97	1486	30
98	1500	15
99	1514	0
